2022-11-01 21:15:03 install perl-base:amd64 <none> 5.34.0-3ubuntu1
2022-11-01 21:15:03 status half-installed perl-base:amd64 5.34.0-3ubuntu1
2022-11-01 21:15:03 status unpacked perl-base:amd64 5.34.0-3ubuntu1
2022-11-01 21:15:03 configure perl-base:amd64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2022-11-01 21:15:03 status half-configured perl-base:amd64 5.34.0-3ubuntu1
2022-11-01 21:15:03 status installed perl-base:amd64 5.34.0-3ubuntu1
2022-11-01 21:15:03 startup archives install
2022-11-01 21:15:03 install mawk:amd64 <none> 1.3.4.20200120-3
2022-11-01 21:15:03 status half-installed mawk:amd64 1.3.4.20200120-3
2022-11-01 21:15:03 status unpacked mawk:amd64 1.3.4.20200120-3
2022-11-01 21:15:03 configure mawk:amd64 1.3.4.20200120-3 1.3.4.20200120-3
2022-11-01 21:15:03 status half-configured mawk:amd64 1.3.4.20200120-3
2022-11-01 21:15:03 status installed mawk:amd64 1.3.4.20200120-3
2022-11-01 21:15:03 startup archives unpack
2022-11-01 21:15:03 upgrade base-files:amd64 12ubuntu4 12ubuntu4
2022-11-01 21:15:03 status half-configured base-files:amd64 12ubuntu4
2022-11-01 21:15:03 status unpacked base-files:amd64 12ubuntu4
2022-11-01 21:15:03 status half-installed base-files:amd64 12ubuntu4
2022-11-01 21:15:03 status unpacked base-files:amd64 12ubuntu4
2022-11-01 21:15:03 upgrade base-passwd:amd64 3.5.52build1 3.5.52build1
2022-11-01 21:15:03 status half-configured base-passwd:amd64 3.5.52build1
2022-11-01 21:15:03 status unpacked base-passwd:amd64 3.5.52build1
2022-11-01 21:15:03 status half-installed base-passwd:amd64 3.5.52build1
2022-11-01 21:15:03 status unpacked base-passwd:amd64 3.5.52build1
2022-11-01 21:15:03 install bash:amd64 <none> 5.1-6ubuntu1
2022-11-01 21:15:03 status half-installed bash:amd64 5.1-6ubuntu1
2022-11-01 21:15:03 status unpacked bash:amd64 5.1-6ubuntu1
2022-11-01 21:15:03 install bsdutils:amd64 <none> 1:2.37.2-4ubuntu3
2022-11-01 21:15:03 status half-installed bsdutils:amd64 1:2.37.2-4ubuntu3
2022-11-01 21:15:03 status unpacked bsdutils:amd64 1:2.37.2-4ubuntu3
2022-11-01 21:15:03 install coreutils:amd64 <none> 8.32-4.1ubuntu1
2022-11-01 21:15:03 status half-installed coreutils:amd64 8.32-4.1ubuntu1
2022-11-01 21:15:03 status unpacked coreutils:amd64 8.32-4.1ubuntu1
2022-11-01 21:15:03 install dash:amd64 <none> 0.5.11+git20210903+057cd650a4ed-3build1
2022-11-01 21:15:03 status half-installed dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2022-11-01 21:15:03 status unpacked dash:amd64 0.5.11+git20210903+057cd650a4ed-3build1
2022-11-01 21:15:03 install debconf:all <none> 1.5.79ubuntu1
2022-11-01 21:15:03 status half-installed debconf:all 1.5.79ubuntu1
2022-11-01 21:15:03 status unpacked debconf:all 1.5.79ubuntu1
2022-11-01 21:15:03 install debianutils:amd64 <none> 5.5-1ubuntu2
2022-11-01 21:15:03 status half-installed debianutils:amd64 5.5-1ubuntu2
2022-11-01 21:15:03 status unpacked debianutils:amd64 5.5-1ubuntu2
